sku;ean;han;brand;name;description;price;delivery_time;shipping_costs;url;image_url;category;delivery_time_at;shipping_costs_at
1.580.000.125;4052138008706;1.580.000.125;TROTEC;TROTEC TAC 5000 – Mobiler Bauluftreiniger (4.500 m³/h);TROTEC TAC 5000 mit 4500 m³/h für Industriehallen und Schadstoffsanierung. HEPA-Staubschutz. Original vom autorisierten TROTEC Fachhändler.;5713.00;2-4 Werktage;0.00;https://shop.bmbrheinlandgmbh.com/de/products/trotec-tac-5000-mobiler-bauluftreiniger-commercial-air-cleaner-4-500-m-h;https://cdn.shopify.com/s/files/1/0962/3932/1432/files/12270-PFT-Profi-Verputzmaschinen-kaufen-1580000125-Trotec-Luftreiniger-TAC-5000-EAN.jpg?v=1782149930;Luftreiniger;4-6 Werktage;399.00
1.580.000.135;4052138008713;1.580.000.135;TROTEC;TROTEC TAC 6500 – Mobiler Bauluftreiniger (5.700 m³/h);TROTEC TAC 6500 mit 5700 m³/h Luftleistung für grosse Industriehallen. HEPA-Filtration bei Schadstoffsanierung. Autorisierter TROTEC Fachhändler.;6137.00;2-4 Werktage;0.00;https://shop.bmbrheinlandgmbh.com/de/products/trotec-tac-6500-mobiler-bauluftreiniger-commercial-air-cleaner-5-700-m-h;https://cdn.shopify.com/s/files/1/0962/3932/1432/files/12275-PFT-Profi-Verputzmaschinen-kaufen-1580000135-Trotec-Luftreiniger-TAC-6500-EAN.jpg?v=1782149931;Luftreiniger;4-6 Werktage;399.00
1.410.000.183;4052138115831;1.410.000.183;TROTEC;TROTEC TAC XT 18 – Multi Air Handler / Luftreiniger mit Heizung (2.500 m³/h, 18 kW);TAC XT 18: Luftreiniger, Heizung und Bautrocknung in einem Gerät. 2500 m³/h, 18 kW. Original TROTEC vom autorisierten Fachhändler.;5648.95;2-4 Werktage;0.00;https://shop.bmbrheinlandgmbh.com/de/products/trotec-tac-xt-18-multi-air-handler-luftreiniger-mit-heizfunktion-2-500-m-h-18-kw;https://cdn.shopify.com/s/files/1/0962/3932/1432/files/multi-airhandler-tac-xt-18-140245-1630480123.jpg?v=1782150130;Luftreiniger;4-6 Werktage;399.00
1.180.000.115;4052138002704;1.180.000.115;TROTEC;TROTEC Airozon Supercracker – Profi-Ozongenerator für Desinfektion & Geruchsneutralisation (10.000 mg/h);Profi-Ozongenerator mit 10000 mg/h für Desinfektion und Geruchsneutralisation. Original TROTEC, kostenloser Versand in Deutschland.;4005.31;2-4 Werktage;0.00;https://shop.bmbrheinlandgmbh.com/de/products/trotec-airozon-supercracker-profi-ozongenerator-zur-desinfektion-geruchsneutralisation-10-000-mg-h;https://cdn.shopify.com/s/files/1/0962/3932/1432/files/ozongenerator-airozon_c2_ae-supercracker-154051-1666344716_1.png?v=1782151657;Desinfektion und Geruchsneutralisation;4-6 Werktage;399.00
1.180.000.112;4052138093481;1.180.000.112;TROTEC;TROTEC Airozon 10000 – Profi-Ozongenerator für Desinfektion & Geruchsneutralisation (10000 mg/h);Ozongenerator Airozon 10000 (10000 mg/h) für Desinfektion und Geruchsbeseitigung nach Brand- und Wasserschaden. Autorisierter TROTEC Händler.;2120.00;2-4 Werktage;0.00;https://shop.bmbrheinlandgmbh.com/de/products/trotec-airozon-10000-profi-ozongenerator-zur-desinfektion-geruchsneutralisation-10-000-mg-h;https://cdn.shopify.com/s/files/1/0962/3932/1432/files/Ozongenerator-AirozonC2AE-10000-126137-1601888280.jpg?v=1782151656;Desinfektion und Geruchsneutralisation;4-6 Werktage;399.00
1.180.000.019;4052138097816;1.180.000.019;TROTEC;TROTEC Zerozon 200 – Sauerstoffregenerator für beschleunigten Ozonabbau (680 m³/h);Zerozon 200 beschleunigt den Ozonabbau nach der Raumdesinfektion (680 m³/h). Original TROTEC vom autorisierten Fachhändler.;1517.38;2-4 Werktage;0.00;https://shop.bmbrheinlandgmbh.com/de/products/trotec-zerozon-200-professionelles-ozon-luftbehandlungssystem-680-m-h;https://cdn.shopify.com/s/files/1/0962/3932/1432/files/Sauerstoff-Regenerator-Zerozon-200-123820-1595233337.jpg?v=1782151743;Desinfektion und Geruchsneutralisation;4-6 Werktage;399.00
1.180.000.020;4052138002681;1.180.000.020;TROTEC;TROTEC AirgoPro 8 – Professioneller Geruchsneutralisator (120 m³/h);Professioneller Geruchsneutralisator für Gastronomie und Hotellerie (120 m³/h). Original TROTEC, kostenloser Versand in Deutschland.;1058.00;2-4 Werktage;0.00;https://shop.bmbrheinlandgmbh.com/de/products/trotec-airgopro-8-professioneller-geruchsneutralisator-odor-neutralizer-120-m-h;https://cdn.shopify.com/s/files/1/0962/3932/1432/files/geruchsbeseitiger-airgopro_c2_ae-8-116051-1585125583.png?v=1782151659;Desinfektion und Geruchsneutralisation;4-6 Werktage;399.00
1.120.000.141;4052138007709;1.120.000.141;TROTEC;TROTEC TTK 140 S – Profi-Luftentfeuchter / Bautrockner (28,5 Liter/Tag);Professioneller Luftentfeuchter TTK 140 S mit 28,5 Litern/Tag für Bautrocknung und Wasserschadensanierung. Autorisierter TROTEC Fachhändler.;599.99;2-4 Werktage;0.00;https://shop.bmbrheinlandgmbh.com/de/products/trotec-ttk-140-s-profi-luftentfeuchter-bautrockner-35-liter-tag;https://cdn.shopify.com/s/files/1/0962/3932/1432/files/Luftentfeuchter-TTK-140-S-149512-1653649348.jpg?v=1782150591;Luftentfeuchter;4-6 Werktage;399.00
1.120.000.155;4052138007716;1.120.000.155;TROTEC;TROTEC TTK 170 S – Profi-Luftentfeuchter / Bautrockner (35,5 Liter/Tag);Professioneller Luftentfeuchter TTK 170 S mit 35,5 Litern/Tag für Bautrocknung und Sanierung. Original TROTEC, kostenloser Versand.;669.00;2-4 Werktage;0.00;https://shop.bmbrheinlandgmbh.com/de/products/trotec-ttk-170-s-profi-luftentfeuchter-bautrockner-40-liter-tag;https://cdn.shopify.com/s/files/1/0962/3932/1432/files/Luftentfeuchter-TTK-170-S-149514-1653649643.jpg?v=1782150592;Luftentfeuchter;4-6 Werktage;399.00
1.120.000.157;4052138007501;1.120.000.157;TROTEC;TROTEC TTK 175 S – Profi-Luftentfeuchter / Bautrockner mit Zähler (50 Liter/Tag);TTK 175 S Kondenstrockner mit Betriebsstunden- und Stromzähler, 50 Liter/Tag. Ideal für Vermietung und Wasserschaden. TROTEC Fachhändler.;1093.00;2-4 Werktage;0.00;https://shop.bmbrheinlandgmbh.com/de/products/trotec-ttk-175-s-profi-luftentfeuchter-bautrockner-mit-zahler-40-liter-tag;https://cdn.shopify.com/s/files/1/0962/3932/1432/files/12221-PFT-Profi-Verputzmaschinen-kaufen-1120000157-Trotec-Luftentfeuchter-TTK-175-S-EAN.jpg?v=1782150459;Luftentfeuchter;4-6 Werktage;399.00
1.120.000.124;4052138006337;1.120.000.124;TROTEC;TROTEC TTK 125 S – Profi-Luftentfeuchter / Bautrockner (32 Liter/Tag);Kompakter Luftentfeuchter TTK 125 S mit 32 Litern/Tag für Bautrocknung und Keller. Original TROTEC vom autorisierten Fachhändler.;913.95;2-4 Werktage;0.00;https://shop.bmbrheinlandgmbh.com/de/products/trotec-ttk-125-s-profi-luftentfeuchter-bautrockner-28-liter-tag;https://cdn.shopify.com/s/files/1/0962/3932/1432/files/12214-PFT-Profi-Verputzmaschinen-kaufen-1120000124-Trotec-Luftentfeuchter-TTK-125-S-EAN_6d876054-6108-42b1-973c-120aca386c66.jpg?v=1782150457;Luftentfeuchter;4-6 Werktage;399.00
1.120.000.160;4052138007723;1.120.000.160;TROTEC;TROTEC TTK 350 S – Profi-Luftentfeuchter / Bautrockner (63,5 Liter/Tag);Leistungsstarker Luftentfeuchter TTK 350 S mit 63,5 Litern/Tag für Bautrocknung und Sanierung. Autorisierter TROTEC Fachhändler.;1060.95;2-4 Werktage;0.00;https://shop.bmbrheinlandgmbh.com/de/products/trotec-ttk-350-s-profi-luftentfeuchter-bautrockner-55-liter-tag;https://cdn.shopify.com/s/files/1/0962/3932/1432/files/Luftentfeuchter-TTK-350-S-149516-1662039690.jpg?v=1782150594;Luftentfeuchter;4-6 Werktage;399.00
1.120.000.163;4052138007433;1.120.000.163;TROTEC;TROTEC TTK 355 S – Profi-Luftentfeuchter / Bautrockner mit Zähler (70 Liter/Tag);TTK 355 S Kondenstrockner mit Zähler, 70 Liter/Tag. Für Vermietung, Bautrocknung und Wasserschadensanierung. Original TROTEC.;1198.90;2-4 Werktage;0.00;https://shop.bmbrheinlandgmbh.com/de/products/trotec-ttk-355-s-profi-luftentfeuchter-bautrockner-mit-zahler-55-liter-tag;https://cdn.shopify.com/s/files/1/0962/3932/1432/files/12232-PFT-Profi-Verputzmaschinen-kaufen-1120000163-Trotec-Luftentfeuchter-TTK-355-S-EAN.jpg?v=1782150461;Luftentfeuchter;4-6 Werktage;399.00
1.120.000.171;4052138007730;1.120.000.171;TROTEC;TROTEC TTK 650 S – Profi-Luftentfeuchter / Bautrockner (88 Liter/Tag);Industrieller Luftentfeuchter TTK 650 S mit 88 Litern/Tag für grosse Trocknungsprojekte. Autorisierter TROTEC Fachhändler.;1626.00;2-4 Werktage;0.00;https://shop.bmbrheinlandgmbh.com/de/products/trotec-ttk-650-s-profi-luftentfeuchter-bautrockner-91-liter-tag;https://cdn.shopify.com/s/files/1/0962/3932/1432/files/Luftentfeuchter-TTK-650-S-149518-1662039425.jpg?v=1782150595;Luftentfeuchter;4-6 Werktage;399.00
1.120.000.174;4052138007440;1.120.000.174;TROTEC;TROTEC TTK 655 S – Profi-Luftentfeuchter / Bautrockner mit Zähler (100 Liter/Tag);TTK 655 S Kondenstrockner mit Betriebsstunden- und Stromzähler, 100 Liter/Tag. Für Vermietung und Industrie. Original TROTEC Fachhändler.;2339.95;2-4 Werktage;0.00;https://shop.bmbrheinlandgmbh.com/de/products/trotec-ttk-655-s-profi-luftentfeuchter-bautrockner-mit-zahler-91-liter-tag;https://cdn.shopify.com/s/files/1/0962/3932/1432/files/12243-PFT-Profi-Verputzmaschinen-kaufen-1120000174-Trotec-Luftentfeuchter-TTK-655-S-EAN.jpg?v=1782150463;Luftentfeuchter;4-6 Werktage;399.00
1.110.000.010;4052138007464;1.110.000.010;TROTEC;TROTEC TTR 200 – Adsorptionstrockner / Industrie-Luftentfeuchter (0,35 kg/h);Industrieller Adsorptionstrockner TTR 200 für Tiefentrocknung und Prozessluft. Original TROTEC vom autorisierten Fachhändler.;1628.00;2-4 Werktage;0.00;https://shop.bmbrheinlandgmbh.com/de/products/trotec-ttr-200-adsorptionstrockner-industrie-luftentfeuchter-0-35-kg-h;https://cdn.shopify.com/s/files/1/0962/3932/1432/files/Adsorptionsluftentfeuchter-TTR-200-153743-1665646850.jpg?v=1782150966;Luftentfeuchter;4-6 Werktage;399.00
1.110.000.120;4052138000748;1.110.000.120;TROTEC;TROTEC TTR 160 – Adsorptionstrockner / Industrie-Luftentfeuchter (0,5 kg/h);Kompakter Adsorptionstrockner TTR 160 für Industrie und Wasserschadensanierung. Original TROTEC, kostenloser Versand in Deutschland.;1663.00;2-4 Werktage;0.00;https://shop.bmbrheinlandgmbh.com/de/products/trotec-ttr-160-adsorptionstrockner-industrie-luftentfeuchter-0-5-kg-h;https://cdn.shopify.com/s/files/1/0962/3932/1432/files/Adsorptionstrockner-TTR-160-118174-1665645294.jpg?v=1782150936;Luftentfeuchter;4-6 Werktage;399.00
1.110.000.015;4052138007471;1.110.000.015;TROTEC;TROTEC TTR 300 – Adsorptionstrockner / Industrie-Luftentfeuchter (0,7 kg/h);Adsorptionstrockner TTR 300 für Tiefentrocknung bei niedrigen Temperaturen. Industrie und Sanierung. Autorisierter TROTEC Fachhändler.;1886.00;2-4 Werktage;0.00;https://shop.bmbrheinlandgmbh.com/de/products/trotec-ttr-300-adsorptionstrockner-industrie-luftentfeuchter-0-7-kg-h;https://cdn.shopify.com/s/files/1/0962/3932/1432/files/Adsorptionsluftentfeuchter-TTR-300-153745-1665648582.jpg?v=1782150939;Luftentfeuchter;4-6 Werktage;399.00
1.110.000.130;4052138002445;1.110.000.130;TROTEC;TROTEC TTR 250 – Adsorptionstrockner / Industrie-Luftentfeuchter (1,1 kg/h);Leistungsstarker Adsorptionstrockner TTR 250 für Industrie, Bautrocknung und Wasserschaden. Original TROTEC Fachhändler.;1871.00;2-4 Werktage;0.00;https://shop.bmbrheinlandgmbh.com/de/products/trotec-ttr-250-adsorptionstrockner-industrie-luftentfeuchter-1-1-kg-h;https://cdn.shopify.com/s/files/1/0962/3932/1432/files/Adsorptionstrockner-TTR-250-118175-1665648800.jpg?v=1782150937;Luftentfeuchter;4-6 Werktage;399.00
1.110.000.020;4052138007488;1.110.000.020;TROTEC;TROTEC TTR 400 – Adsorptionstrockner / Industrie-Luftentfeuchter (1,2 kg/h);Industrieller Adsorptionstrockner TTR 400 für Prozesstrocknung und Sanierung. Original TROTEC vom autorisierten Fachhändler.;2316.00;2-4 Werktage;0.00;https://shop.bmbrheinlandgmbh.com/de/products/trotec-ttr-400-adsorptionstrockner-industrie-luftentfeuchter-1-2-kg-h;https://cdn.shopify.com/s/files/1/0962/3932/1432/files/Adsorptionsluftentfeuchter-TTR-400-153748-1665648621.jpg?v=1782150941;Luftentfeuchter;4-6 Werktage;399.00
1.110.000.021;4052138007594;1.110.000.021;TROTEC;TROTEC TTR 400 D – Adsorptionstrockner mit Dual-Regeneration (1,6 kg/h);TTR 400 D mit Dual-Regeneration für anspruchsvolle Prozesstrocknung in der Industrie. Autorisierter TROTEC Fachhändler.;2936.00;2-4 Werktage;0.00;https://shop.bmbrheinlandgmbh.com/de/products/trotec-ttr-400-d-adsorptionstrockner-mit-doppelregeneration-industrie-luftentfeuchter-1-6-kg-h;https://cdn.shopify.com/s/files/1/0962/3932/1432/files/Adsorptionsluftentfeuchter-TTR-400-D-153749-1665648658.jpg?v=1782150942;Luftentfeuchter;4-6 Werktage;399.00
1.110.000.025;4052138007495;1.110.000.025;TROTEC;TROTEC TTR 500 D – Adsorptionstrockner mit Dual-Regeneration (2,2 kg/h);TTR 500 D mit Dual-Regeneration, 2,2 kg/h Entfeuchtungsleistung für Industrie und Prozessluft. Original TROTEC Fachhändler.;3082.00;2-4 Werktage;0.00;https://shop.bmbrheinlandgmbh.com/de/products/trotec-ttr-500-d-adsorptionstrockner-mit-doppelregeneration-industrie-luftentfeuchter-2-2-kg-h;https://cdn.shopify.com/s/files/1/0962/3932/1432/files/Adsorptionsluftentfeuchter-TTR-500-D-153751-1665648692.jpg?v=1782150944;Luftentfeuchter;4-6 Werktage;399.00
7.160.000.220;;7.160.000.220;TROTEC;Original TROTEC HEPA H13 Hauptfilter – für TAC 750 E;Original TROTEC Schwebstofffilter H13 für TAC 750 E. Ersatzfilter nach EN 1822 vom autorisierten TROTEC Fachhändler. Schnelle Lieferung, fairer Preis.;79.92;2-4 Werktage;0.00;https://shop.bmbrheinlandgmbh.com/de/products/original-trotec-hepa-h13-main-filter-for-tac-750-e;https://cdn.shopify.com/s/files/1/0962/3932/1432/files/trotec-hepa-h13-filter-tac-750-e-7160000220.jpg?v=1784321015;Ersatzfilter;4-6 Werktage;399.00
7.160.000.424;4052138011386;7.160.000.424;TROTEC;Original TROTEC HEPA H13 Hauptfilter – für TAC 1500 / TAC 1500 S;Original TROTEC Schwebstofffilter H13 für TAC 1500 / TAC 1500 S. Ersatzfilter nach EN 1822 vom autorisierten TROTEC Fachhändler. Jetzt online bestellen.;137.99;2-4 Werktage;0.00;https://shop.bmbrheinlandgmbh.com/de/products/original-trotec-hepa-h13-main-filter-for-tac-1500-tac-1500-s;https://cdn.shopify.com/s/files/1/0962/3932/1432/files/trotec-hepa-h13-filter-tac-1500-7160000424.jpg?v=1784321016;Ersatzfilter;4-6 Werktage;399.00
7.160.000.431;4052138011492;7.160.000.431;TROTEC;Original TROTEC HEPA H13 Hauptfilter – für TAC 3500 / TAC 3000;Original TROTEC Schwebstofffilter H13 für TAC 3500 / TAC 3000. Ersatzfilter nach EN 1822 vom autorisierten TROTEC Fachhändler. Jetzt online bestellen.;208.99;2-4 Werktage;0.00;https://shop.bmbrheinlandgmbh.com/de/products/original-trotec-hepa-h13-main-filter-for-tac-3500-tac-3000;https://cdn.shopify.com/s/files/1/0962/3932/1432/files/trotec-hepa-h13-filter-tac-3500-3000-7160000431.jpg?v=1784321016;Ersatzfilter;4-6 Werktage;399.00
7.160.000.451;4052138012376;7.160.000.451;TROTEC;Original TROTEC HEPA H13 Hauptfilter – für TAC 5000;Original TROTEC Schwebstofffilter H13 für TAC 5000. Ersatzfilter nach EN 1822 vom autorisierten TROTEC Fachhändler. Schnelle Lieferung, fairer Preis.;274.00;2-4 Werktage;0.00;https://shop.bmbrheinlandgmbh.com/de/products/original-trotec-hepa-h13-main-filter-for-tac-5000;https://cdn.shopify.com/s/files/1/0962/3932/1432/files/trotec-hepa-h13-filter-tac-5000-7160000451.jpg?v=1784321016;Ersatzfilter;4-6 Werktage;399.00
7.160.000.404-5P;;7.160.000.404;TROTEC;Original TROTEC G4 Z-Line Vorfilter 5er-Pack – für TAC 750 E / 1500 / 1500 S (auch passend für Airozon 20000);Original TROTEC G4 Z-Line Vorfilter im 5er-Sparpack für TAC 750 E, TAC 1500 und TAC 1500 S. Autorisierter TROTEC Fachhändler, kostenloser Versand innerhalb Deutschlands.;83.95;2-4 Werktage;0.00;https://shop.bmbrheinlandgmbh.com/de/products/original-trotec-g4-z-line-pre-filter-5-pack-for-tac-750-e-1500-1500-s-also-fits-airozon-20000;https://cdn.shopify.com/s/files/1/0962/3932/1432/files/trotec-g4-z-line-pre-filter-5-pack-tac-750e-1500.jpg?v=1786799731;Ersatzfilter;4-6 Werktage;399.00
7.160.000.478;4052138011393;7.160.000.478;TROTEC;Original TROTEC HEPA H13 Hauptfilter – für TAC 6500;Original TROTEC Schwebstofffilter H13 für TAC 6500. Ersatzfilter nach EN 1822 vom autorisierten TROTEC Fachhändler. Schnelle Lieferung, fairer Preis.;315.99;2-4 Werktage;0.00;https://shop.bmbrheinlandgmbh.com/de/products/original-trotec-hepa-h13-main-filter-for-tac-6500;https://cdn.shopify.com/s/files/1/0962/3932/1432/files/trotec-hepa-h13-filter-tac-6500-7160000478.jpg?v=1784321016;Ersatzfilter;4-6 Werktage;399.00
7.160.000.223;;7.160.000.223;TROTEC;Original TROTEC HEPA H14 Hauptfilter – für TAC 750 E;Original TROTEC Schwebstofffilter H14 für TAC 750 E. Ersatzfilter nach EN 1822, 99,995 % Abscheidegrad. Autorisierter TROTEC Fachhändler, jetzt bestellen.;88.99;2-4 Werktage;0.00;https://shop.bmbrheinlandgmbh.com/de/products/original-trotec-hepa-h14-main-filter-for-tac-750-e;https://cdn.shopify.com/s/files/1/0962/3932/1432/files/trotec-hepa-h14-filter-tac-750-e-7160000223.jpg?v=1784321016;Ersatzfilter;4-6 Werktage;399.00
7.160.000.426;4052138093160;7.160.000.426;TROTEC;Original TROTEC HEPA H14 Hauptfilter – für TAC 1500 / TAC 1500 S;Original TROTEC Schwebstofffilter H14 für TAC 1500 / TAC 1500 S. Ersatzfilter nach EN 1822 vom autorisierten TROTEC Fachhändler. Jetzt online bestellen.;144.99;2-4 Werktage;0.00;https://shop.bmbrheinlandgmbh.com/de/products/original-trotec-hepa-h14-main-filter-for-tac-1500-tac-1500-s;https://cdn.shopify.com/s/files/1/0962/3932/1432/files/trotec-hepa-h14-filter-tac-1500-7160000426.jpg?v=1784321016;Ersatzfilter;4-6 Werktage;399.00
7.160.000.433;4052138093177;7.160.000.433;TROTEC;Original TROTEC HEPA H14 Hauptfilter – für TAC 3500 / TAC 3000;Original TROTEC Schwebstofffilter H14 für TAC 3500 / TAC 3000. Ersatzfilter nach EN 1822 vom autorisierten TROTEC Fachhändler. Jetzt online bestellen.;213.20;2-4 Werktage;0.00;https://shop.bmbrheinlandgmbh.com/de/products/original-trotec-hepa-h14-main-filter-for-tac-3500-tac-3000;https://cdn.shopify.com/s/files/1/0962/3932/1432/files/trotec-hepa-h14-filter-tac-3500-3000-7160000433.jpg?v=1784321016;Ersatzfilter;4-6 Werktage;399.00
7.160.000.456;4052138093030;7.160.000.456;TROTEC;Original TROTEC HEPA H14 Hauptfilter – für TAC 5000;Original TROTEC Schwebstofffilter H14 für TAC 5000. Ersatzfilter nach EN 1822, 99,995 % Abscheidegrad. Autorisierter TROTEC Fachhändler, jetzt bestellen.;320.30;2-4 Werktage;0.00;https://shop.bmbrheinlandgmbh.com/de/products/original-trotec-hepa-h14-main-filter-for-tac-5000;https://cdn.shopify.com/s/files/1/0962/3932/1432/files/trotec-hepa-h14-filter-tac-5000-7160000456.jpg?v=1784321017;Ersatzfilter;4-6 Werktage;399.00
